generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
C-NG_GT,2025011600,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.744
S-Central_PV-1,2025061512,0.0,-9.99200722163e-16,-2.18974838262e-15,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,2191.5
N-Geothermal,2025011512,0.0,0.96858075,1.06131654533,30597.7560018,N-Geothermal,Geothermal,North,Geothermal,2020,1095.744
N-NG_GT,2025011600,0.0,0.0,0.0,0.0,N-NG_GT,NaturalGas,North,NG_GT,2020,1095.744
N-NG_CC_CCS,2025061500,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,2191.5
N-Wind-2,2035011512,0.0,0.86478,7.58066148,0.0,N-Wind-2,Wind,North,Wind,2030,8766.0
C-Biomass_IGCC,2025011600,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.744
N-Coal_IGCC_CCS,2025061500,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,2191.5
N-Central_PV-2,2025061512,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,2191.5
C-Wind-1,2025011600,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.744
C-Coal_ST,2025011612,1682.39271463,1.692,1.853998848,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.744
S-Commercial_PV,2025011500,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,1095.744
N-Wind-1,2035011512,0.0,3.1808,27.8828928,0.0,N-Wind-1,Wind,North,Wind,2030,8766.0
N-NG_CC,2025011612,691.744291649,1.77447732814,1.94437288545,6636.33909532,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.744
C-Wind-2,2025011600,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.744
S-NG_GT,2025061500,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,2191.5
C-Central_PV-1,2025011612,0.0,1.2544,1.3745012736,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.744
N-Biomass_IGCC_CCS,2025061500,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,2191.5
S-Central_PV-2,2025011600,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,1095.744
S-NG_CC_CCS,2025011600,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,1095.744
N-Central_PV-1,2035011512,0.0,1.2054,10.5665364,0.0,N-Central_PV-1,Solar,North,Central_PV,2030,8766.0
S-Biomass_IGCC_CCS,2025011612,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2020,1095.744
N-Nuclear,2025061512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,2191.5
S-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,2191.5
C-NG_GT,2025011612,0.0,0.0,0.0,0.0,C-NG_GT,NaturalGas,Central,NG_GT,2020,1095.744
N-Geothermal,2025011500,0.0,0.96858075,1.06131654533,30597.7560018,N-Geothermal,Geothermal,North,Geothermal,2020,1095.744
S-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,1095.744
N-Commercial_PV,2025011600,0.0,0.0,0.0,0.0,N-Commercial_PV,Solar,North,Commercial_PV,2020,1095.744
N-Wind-2,2025011612,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.744
N-Coal_IGCC_CCS,2025011512,0.0,0.0,0.0,0.0,N-Coal_IGCC_CCS,Coal,North,Coal_IGCC_CCS,2020,1095.744
N-Central_PV-1,2025011600,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.744
C-Coal_ST,2025011500,1682.39271463,1.692,1.853998848,6674.3958528,C-Coal_ST,Coal,Central,Coal_ST,2020,1095.744
C-NG_CC,2025061500,1683.50881133,2.15927467394,4.73205044794,12920.7691071,C-NG_CC,NaturalGas,Central,NG_CC,2020,2191.5
N-Biomass_IGCC,2025061512,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,2191.5
N-NG_CC,2025011500,732.880182618,1.88,2.05999872,7030.98163123,N-NG_CC,NaturalGas,North,NG_CC,2020,1095.744
C-Wind-2,2025061512,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
S-NG_GT,2025061512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,2191.5
N-Biomass_IGCC_CCS,2025061512,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,2191.5
N-Residential_PV,2025061500,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,2191.5
S-NG_CC_CCS,2025061512,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2020,2191.5
C-Commercial_PV,2025061512,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,2191.5
N-Central_PV-1,2025011512,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.744
S-Biomass_IGCC_CCS,2035011512,-0.0,0.0,0.0,0.0,S-Biomass_IGCC_CCS,BioSolid,South,Biomass_IGCC_CCS,2030,8766.0
S-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,1095.744
C-Biomass_IGCC,2025011612,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2020,1095.744
N-Geothermal,2025011612,0.0,0.96858075,1.06131654533,30597.7560018,N-Geothermal,Geothermal,North,Geothermal,2020,1095.744
N-Coal_ST,2025011512,1593.84572965,1.692,1.853998848,6303.5960832,N-Coal_ST,Coal,North,Coal_ST,2020,1095.744
C-Residential_PV,2035011512,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2030,8766.0
N-Coal_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,1095.744
N-Residential_PV,2025011600,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.744
C-Wind-1,2025061500,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Coal_IGCC,2025061500,0.0,0.0,0.0,0.0,C-Coal_IGCC,Coal,Central,Coal_IGCC,2020,2191.5
C-Residential_PV,2025011512,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.744
C-Nuclear,2025011612,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
C-Central_PV-1,2025011600,0.0,0.0,0.0,0.0,C-Central_PV-1,Solar,Central,Central_PV,2020,1095.744
N-Coal_ST,2025061512,3187.70891424,1.692,3.708018,12607.2612,N-Coal_ST,Coal,North,Coal_ST,2020,2191.5
